state,county,fips,year,office,party,candidate,candidatevotes_sum
Alabama,Autauga,01001,2000,President,democrat,Al Gore,4942
Alabama,Autauga,01001,2000,President,republican,George W. Bush,11993
Alabama,Autauga,01001,2004,President,democrat,John Kerry,4758
Alabama,Autauga,01001,2004,President,republican,George W. Bush,15196
Alabama,Autauga,01001,2008,President,democrat,Barack Obama,6093
Alabama,Autauga,01001,2008,President,republican,John McCain,17403
Alabama,Autauga,01001,2012,President,democrat,Barack Obama,6363
Alabama,Autauga,01001,2012,President,republican,Mitt Romney,17379
Alabama,Autauga,01001,2016,President,democrat,Hillary Clinton,5936
Alabama,Autauga,01001,2016,President,republican,Donald Trump,18172
Alabama,Baldwin,01003,2000,President,democrat,Al Gore,13997
Alabama,Baldwin,01003,2000,President,republican,George W. Bush,40872
Alabama,Baldwin,01003,2004,President,democrat,John Kerry,15599
Alabama,Baldwin,01003,2004,President,republican,George W. Bush,52971
Alabama,Baldwin,01003,2008,President,democrat,Barack Obama,19386
Alabama,Baldwin,01003,2008,President,republican,John McCain,61271
Alabama,Baldwin,01003,2012,President,democrat,Barack Obama,18424
Alabama,Baldwin,01003,2012,President,republican,Mitt Romney,66016
Alabama,Baldwin,01003,2016,President,democrat,Hillary Clinton,18458
Alabama,Baldwin,01003,2016,President,republican,Donald Trump,72883
Alabama,Barbour,01005,2000,President,democrat,Al Gore,5188
Alabama,Barbour,01005,2000,President,republican,George W. Bush,5096
Alabama,Barbour,01005,2004,President,democrat,John Kerry,4832
Alabama,Barbour,01005,2004,President,republican,George W. Bush,5899
Alabama,Barbour,01005,2008,President,democrat,Barack Obama,5697
Alabama,Barbour,01005,2008,President,republican,John McCain,5866
Alabama,Barbour,01005,2012,President,democrat,Barack Obama,5912
Alabama,Barbour,01005,2012,President,republican,Mitt Romney,5550
Alabama,Barbour,01005,2016,President,democrat,Hillary Clinton,4871
Alabama,Barbour,01005,2016,President,republican,Donald Trump,5454
Alabama,Bibb,01007,2000,President,democrat,Al Gore,2710
Alabama,Bibb,01007,2000,President,republican,George W. Bush,4273
Alabama,Bibb,01007,2004,President,democrat,John Kerry,2089
Alabama,Bibb,01007,2004,President,republican,George W. Bush,5472
Alabama,Bibb,01007,2008,President,democrat,Barack Obama,2299
Alabama,Bibb,01007,2008,President,republican,John McCain,6262
Alabama,Bibb,01007,2012,President,democrat,Barack Obama,2202
Alabama,Bibb,01007,2012,President,republican,Mitt Romney,6132
Alabama,Bibb,01007,2016,President,democrat,Hillary Clinton,1874
Alabama,Bibb,01007,2016,President,republican,Donald Trump,6738
Alabama,Blount,01009,2000,President,democrat,Al Gore,4977
Alabama,Blount,01009,2000,President,republican,George W. Bush,12667
Alabama,Blount,01009,2004,President,democrat,John Kerry,3938
Alabama,Blount,01009,2004,President,republican,George W. Bush,17386
Alabama,Blount,01009,2008,President,democrat,Barack Obama,3522
Alabama,Blount,01009,2008,President,republican,John McCain,20389
Alabama,Blount,01009,2012,President,democrat,Barack Obama,2970
Alabama,Blount,01009,2012,President,republican,Mitt Romney,20757
Alabama,Blount,01009,2016,President,democrat,Hillary Clinton,2156
Alabama,Blount,01009,2016,President,republican,Donald Trump,22859
Alabama,Bullock,01011,2000,President,democrat,Al Gore,3395
Alabama,Bullock,01011,2000,President,republican,George W. Bush,1433
Alabama,Bullock,01011,2004,President,democrat,John Kerry,3210
Alabama,Bullock,01011,2004,President,republican,George W. Bush,1494
Alabama,Bullock,01011,2008,President,democrat,Barack Obama,4011
Alabama,Bullock,01011,2008,President,republican,John McCain,1391
Alabama,Bullock,01011,2012,President,democrat,Barack Obama,4061
Alabama,Bullock,01011,2012,President,republican,Mitt Romney,1251
Alabama,Bullock,01011,2016,President,democrat,Hillary Clinton,3530
Alabama,Bullock,01011,2016,President,republican,Donald Trump,1140
Alabama,Butler,01013,2000,President,democrat,Al Gore,3606
Alabama,Butler,01013,2000,President,republican,George W. Bush,4127
Alabama,Butler,01013,2004,President,democrat,John Kerry,3413
Alabama,Butler,01013,2004,President,republican,George W. Bush,4979
Alabama,Butler,01013,2008,President,democrat,Barack Obama,4188
Alabama,Butler,01013,2008,President,republican,John McCain,5485
Alabama,Butler,01013,2012,President,democrat,Barack Obama,4374
Alabama,Butler,01013,2012,President,republican,Mitt Romney,5087
Alabama,Butler,01013,2016,President,democrat,Hillary Clinton,3726
Alabama,Butler,01013,2016,President,republican,Donald Trump,4901
Alabama,Calhoun,01015,2000,President,democrat,Al Gore,15781
Alabama,Calhoun,01015,2000,President,republican,George W. Bush,22306
Alabama,Calhoun,01015,2004,President,democrat,John Kerry,15083
Alabama,Calhoun,01015,2004,President,republican,George W. Bush,29814
Alabama,Calhoun,01015,2008,President,democrat,Barack Obama,16334
Alabama,Calhoun,01015,2008,President,republican,John McCain,32348
Alabama,Calhoun,01015,2012,President,democrat,Barack Obama,15511
Alabama,Calhoun,01015,2012,President,republican,Mitt Romney,30278
Alabama,Calhoun,01015,2016,President,democrat,Hillary Clinton,13242
Alabama,Calhoun,01015,2016,President,republican,Donald Trump,32865
Alabama,Chambers,01017,2000,President,democrat,Al Gore,5616
Alabama,Chambers,01017,2000,President,republican,George W. Bush,6037
Alabama,Chambers,01017,2004,President,democrat,John Kerry,5347
Alabama,Chambers,01017,2004,President,republican,George W. Bush,7622
Alabama,Chambers,01017,2008,President,democrat,Barack Obama,6799
Alabama,Chambers,01017,2008,President,republican,John McCain,8067
Alabama,Chambers,01017,2012,President,democrat,Barack Obama,6871
Alabama,Chambers,01017,2012,President,republican,Mitt Romney,7626
Alabama,Chambers,01017,2016,President,democrat,Hillary Clinton,5784
Alabama,Chambers,01017,2016,President,republican,Donald Trump,7843
Alabama,Cherokee,01019,2000,President,democrat,Al Gore,3497
Alabama,Cherokee,01019,2000,President,republican,George W. Bush,4154
Alabama,Cherokee,01019,2004,President,democrat,John Kerry,3040
Alabama,Cherokee,01019,2004,President,republican,George W. Bush,5923
Alabama,Cherokee,01019,2008,President,democrat,Barack Obama,2306
Alabama,Cherokee,01019,2008,President,republican,John McCain,7298
Alabama,Cherokee,01019,2012,President,democrat,Barack Obama,2132
Alabama,Cherokee,01019,2012,President,republican,Mitt Romney,7506
Alabama,Cherokee,01019,2016,President,democrat,Hillary Clinton,1547
Alabama,Cherokee,01019,2016,President,republican,Donald Trump,8953
Alabama,Chilton,01021,2000,President,democrat,Al Gore,4806
Alabama,Chilton,01021,2000,President,republican,George W. Bush,10066
Alabama,Chilton,01021,2004,President,democrat,John Kerry,3778
Alabama,Chilton,01021,2004,President,republican,George W. Bush,12829
Alabama,Chilton,01021,2008,President,democrat,Barack Obama,3674
Alabama,Chilton,01021,2008,President,republican,John McCain,13960
Alabama,Chilton,01021,2012,President,democrat,Barack Obama,3397
Alabama,Chilton,01021,2012,President,republican,Mitt Romney,13932
Alabama,Chilton,01021,2016,President,democrat,Hillary Clinton,2911
Alabama,Chilton,01021,2016,President,republican,Donald Trump,15081
Alabama,Choctaw,01023,2000,President,democrat,Al Gore,3707
Alabama,Choctaw,01023,2000,President,republican,George W. Bush,3600
Alabama,Choctaw,01023,2004,President,democrat,John Kerry,3303
Alabama,Choctaw,01023,2004,President,republican,George W. Bush,3897
Alabama,Choctaw,01023,2008,President,democrat,Barack Obama,3636
Alabama,Choctaw,01023,2008,President,republican,John McCain,4223
Alabama,Choctaw,01023,2012,President,democrat,Barack Obama,3786
Alabama,Choctaw,01023,2012,President,republican,Mitt Romney,4152
Alabama,Choctaw,01023,2016,President,democrat,Hillary Clinton,3109
Alabama,Choctaw,01023,2016,President,republican,Donald Trump,4106
Alabama,Clarke,01025,2000,President,democrat,Al Gore,4679
Alabama,Clarke,01025,2000,President,republican,George W. Bush,5988
Alabama,Clarke,01025,2004,President,democrat,John Kerry,4627
Alabama,Clarke,01025,2004,President,republican,George W. Bush,6730
Alabama,Clarke,01025,2008,President,democrat,Barack Obama,5914
Alabama,Clarke,01025,2008,President,republican,John McCain,7466
Alabama,Clarke,01025,2012,President,democrat,Barack Obama,6334
