year,state,county,fips,candidatevotes_sum_democrat,candidatevotes_sum_republican,pct_vote_democrat,pct_vote_republican,dem_margin_pct,dem_margin_votes,shift_pct,shift_votes
2004,Alabama,Autauga,01001,4758,15196,0.23844843139220206,0.7615515686077979,-0.5231031372155959,-10438,-0.10674647940632509,-3387
2008,Alabama,Autauga,01001,6093,17403,0.25932073544433093,0.740679264555669,-0.4813585291113381,-11310,0.041744608104257785,-872
2012,Alabama,Autauga,01001,6363,17379,0.2680060652009098,0.7319939347990903,-0.46398786959818045,-11016,0.017370659513157638,294
2016,Alabama,Autauga,01001,5936,18172,0.2462253193960511,0.7537746806039489,-0.5075493612078978,-12236,-0.043561491609717395,-1220
2004,Alabama,Baldwin,01003,15599,52971,0.2274901560449176,0.7725098439550824,-0.5450196879101648,-37372,-0.055216702617923274,-10497
2008,Alabama,Baldwin,01003,19386,61271,0.24035111645610424,0.7596488835438957,-0.5192977670877914,-41885,0.025721920822373345,-4513
2012,Alabama,Baldwin,01003,18424,66016,0.21819043107531974,0.7818095689246802,-0.5636191378493605,-47592,-0.04432137076156906,-5707
2016,Alabama,Baldwin,01003,18458,72883,0.2020779277651876,0.7979220722348124,-0.5958441444696247,-54425,-0.032225006620264285,-6833
2004,Alabama,Barbour,01005,4832,5899,0.45028422327835244,0.5497157767216475,-0.09943155344329507,-1067,-0.10837748887697846,-1159
2008,Alabama,Barbour,01005,5697,5866,0.49269220790452306,0.5073077920954769,-0.014615584190953879,-169,0.0848159692523412,898
2012,Alabama,Barbour,01005,5912,5550,0.5157913104170302,0.4842086895829698,0.03158262083406038,362,0.04619820502501426,531
2016,Alabama,Barbour,01005,4871,5454,0.47176755447941887,0.5282324455205811,-0.05646489104116226,-583,-0.08804751187522264,-945
2004,Alabama,Bibb,01007,2089,5472,0.27628620552836924,0.7237137944716308,-0.4474275889432615,-3383,-0.2235982892153509,-1820
2008,Alabama,Bibb,01007,2299,6262,0.26854339446326364,0.7314566055367364,-0.4629132110734728,-3963,-0.015485622130211263,-580
2012,Alabama,Bibb,01007,2202,6132,0.26421886249100074,0.7357811375089993,-0.4715622750179986,-3930,-0.008649063944525803,33
2016,Alabama,Bibb,01007,1874,6738,0.21760334417092428,0.7823966558290757,-0.5647933116581514,-4864,-0.09323103664015281,-934
2004,Alabama,Blount,01009,3938,17386,0.18467454511348716,0.8153254548865129,-0.6306509097730257,-13448,-0.19480869712283305,-5758
2008,Alabama,Blount,01009,3522,20389,0.14729622349546234,0.8527037765045377,-0.7054075530090753,-16867,-0.07475664323604958,-3419
2012,Alabama,Blount,01009,2970,20757,0.12517385257301808,0.874826147426982,-0.7496522948539639,-17787,-0.04424474184488858,-920
2016,Alabama,Blount,01009,2156,22859,0.08618828702778333,0.9138117129722166,-0.8276234259444333,-20703,-0.07797113109046938,-2916
2004,Alabama,Bullock,01011,3210,1494,0.6823979591836735,0.31760204081632654,0.364795918367347,1716,-0.04158353482237964,-246
2008,Alabama,Bullock,01011,4011,1391,0.7425027767493521,0.2574972232506479,0.48500555349870417,2620,0.12020963513135718,904
2012,Alabama,Bullock,01011,4061,1251,0.7644954819277109,0.23550451807228914,0.5289909638554218,2810,0.0439854103567176,190
2016,Alabama,Bullock,01011,3530,1140,0.7558886509635975,0.24411134903640258,0.511777301927195,2390,-0.01721366192822682,-420
2004,Alabama,Butler,01013,3413,4979,0.4066968541468065,0.5933031458531935,-0.18660629170638704,-1566,-0.11923269801700392,-1045
2008,Alabama,Butler,01013,4188,5485,0.4329577173575933,0.5670422826424067,-0.13408456528481344,-1297,0.0525217264215736,269
2012,Alabama,Butler,01013,4374,5087,0.46231899376387275,0.5376810062361272,-0.07536201247225449,-713,0.05872255281255895,584
2016,Alabama,Butler,01013,3726,4901,0.43189984931030484,0.5681001506896951,-0.13620030137939027,-1175,-0.060838288907135774,-462
2004,Alabama,Calhoun,01015,15083,29814,0.3359467224981625,0.6640532775018375,-0.328106555003675,-14731,-0.1567882574218229,-8206
2008,Alabama,Calhoun,01015,16334,32348,0.3355244238116758,0.6644755761883242,-0.3289511523766484,-16014,-8.445973729733769e-4,-1283
2012,Alabama,Calhoun,01015,15511,30278,0.33874948131647337,0.6612505186835266,-0.3225010373670532,-14767,0.006450115009595192,1247
2016,Alabama,Calhoun,01015,13242,32865,0.28720150953217516,0.7127984904678248,-0.4255969809356497,-19623,-0.10309594356859647,-4856
2004,Alabama,Chambers,01017,5347,7622,0.4122908474053512,0.5877091525946487,-0.17541830518929752,-2275,-0.13929026949033585,-1854
2008,Alabama,Chambers,01017,6799,8067,0.4573523476389076,0.5426476523610925,-0.08529530472218488,-1268,0.09012300046711264,1007
2012,Alabama,Chambers,01017,6871,7626,0.4739601296820032,0.5260398703179968,-0.05207974063599363,-755,0.03321556408619125,513
2016,Alabama,Chambers,01017,5784,7843,0.42445145666691125,0.5755485433330887,-0.15109708666617744,-2059,-0.0990173460301838,-1304
2004,Alabama,Cherokee,01019,3040,5923,0.33917215218118935,0.6608278478188107,-0.3216556956376213,-2883,-0.2357845676804915,-2226
2008,Alabama,Cherokee,01019,2306,7298,0.24010828821324448,0.7598917117867555,-0.519783423573511,-4992,-0.19812772793588973,-2109
2012,Alabama,Cherokee,01019,2132,7506,0.22120771944386802,0.778792280556132,-0.5575845611122641,-5374,-0.03780113753875303,-382
2016,Alabama,Cherokee,01019,1547,8953,0.14733333333333334,0.8526666666666667,-0.7053333333333334,-7406,-0.1477487722210693,-2032
2004,Alabama,Chilton,01021,3778,12829,0.22749443005961342,0.7725055699403865,-0.5450111398807731,-9051,-0.1913263631190733,-3791
2008,Alabama,Chilton,01021,3674,13960,0.20834751049109673,0.7916524895089032,-0.5833049790178064,-10286,-0.038293839137033325,-1235
2012,Alabama,Chilton,01021,3397,13932,0.19602977667493796,0.8039702233250621,-0.6079404466501241,-10535,-0.02463546763231772,-249
2016,Alabama,Chilton,01021,2911,15081,0.16179413072476656,0.8382058692752334,-0.6764117385504669,-12170,-0.06847129190034273,-1635
2004,Alabama,Choctaw,01023,3303,3897,0.45875,0.54125,-0.08250000000000002,-594,-0.0971434925413987,-701
2008,Alabama,Choctaw,01023,3636,4223,0.46265428171523093,0.5373457182847691,-0.07469143656953814,-587,0.007808563430461879,7
2012,Alabama,Choctaw,01023,3786,4152,0.47694633408919124,0.5230536659108088,-0.04610733182161758,-366,0.028584104747920558,221
2016,Alabama,Choctaw,01023,3109,4106,0.4309078309078309,0.5690921690921691,-0.13818433818433817,-997,-0.09207700636272059,-631
2004,Alabama,Clarke,01025,4627,6730,0.4074139297349652,0.5925860702650347,-0.18517214053006953,-2103,-0.06245722537116821,-794
2008,Alabama,Clarke,01025,5914,7466,0.4420029895366218,0.5579970104633781,-0.11599402092675631,-1552,0.06917811960331322,551
2012,Alabama,Clarke,01025,6334,7470,0.4588525065198493,0.5411474934801507,-0.08229498696030135,-1136,0.03369903396645496,416
2016,Alabama,Clarke,01025,5749,7140,0.4460392582822562,0.5539607417177438,-0.10792148343548758,-1391,-0.025626496475186222,-255
2004,Alabama,Clay,01027,1893,4624,0.29047107564830443,0.7095289243516956,-0.41905784870339113,-2731,-0.12863453156251675,-1057
2008,Alabama,Clay,01027,1760,4984,0.2609727164887307,0.7390272835112692,-0.4780545670225385,-3224,-0.05899671831914738,-493
2012,Alabama,Clay,01027,1777,4817,0.2694874127995147,0.7305125872004853,-0.46102517440097057,-3040,0.01702939262156794,184
2016,Alabama,Clay,01027,1237,5245,0.1908361616784943,0.8091638383215057,-0.6183276766430115,-4008,-0.1573025022420409,-968
2004,Alabama,Cleburne,01029,1391,4370,0.2414511369553897,0.7585488630446103,-0.5170977260892207,-2979,-0.18309732584907662,-1310
2008,Alabama,Cleburne,01029,1168,5216,0.18295739348370926,0.8170426065162907,-0.6340852130325814,-4048,-0.1169874869433607,-1069
2012,Alabama,Cleburne,01029,971,5272,0.15553419830209836,0.8444658016979016,-0.6889316033958033,-4301,-0.05484639036322192,-253
2016,Alabama,Cleburne,01029,684,5764,0.10607940446650124,0.8939205955334988,-0.7878411910669976,-5080,-0.09890958767119429,-779
2004,Alabama,Coffee,01031,4480,13019,0.2560146294073947,0.7439853705926053,-0.48797074118521055,-8539,-0.17671595823231434,-3821
2008,Alabama,Coffee,01031,5079,14919,0.25397539753975396,0.746024602460246,-0.4920492049204921,-9840,-0.0040784637352815345,-1301
2012,Alabama,Coffee,01031,4925,14666,0.25139094482160174,0.7486090551783983,-0.49721811035679653,-9741,-0.0051689054363044384,99
2016,Alabama,Coffee,01031,4221,15875,0.21004179936305734,0.7899582006369427,-0.5799164012738853,-11654,-0.0826982909170888,-1913
2004,Alabama,Colbert,01033,10598,13188,0.4455562095350206,0.5544437904649794,-0.10888758092995876,-2590,-0.1100746090862666,-2615
2008,Alabama,Colbert,01033,9703,14739,0.39698060715162425,0.6030193928483758,-0.20603878569675155,-5036,-0.09715120476679279,-2446
2012,Alabama,Colbert,01033,9166,13936,0.3967621850921998,0.6032378149078002,-0.20647562981560036,-4770,-4.3684411884881147e-4,266
2016,Alabama,Colbert,01033,7312,16746,0.3039321639371519,0.6960678360628482,-0.3921356721256963,-9434,-0.18566004231009592,-4664
2004,Alabama,Conecuh,01035,2719,3271,0.45392320534223707,0.5460767946577629,-0.09215358931552586,-552,-0.10747646417871448,-636
2008,Alabama,Conecuh,01035,3429,3470,0.4970285548630236,0.5029714451369763,-0.005942890273952728,-41,0.08621069904157314,511
2012,Alabama,Conecuh,01035,3555,3439,0.5082928224192165,0.49170717758078353,0.016585644838432945,116,0.022528535112385673,157
2016,Alabama,Conecuh,01035,3080,3420,0.47384615384615386,0.5261538461538462,-0.05230769230769233,-340,-0.06889333714612528,-456
2004,Alabama,Coosa,01037,2055,2905,0.41431451612903225,0.5856854838709677,-0.1713709677419355,-850,-0.10940039261933188,-572
2008,Alabama,Coosa,01037,2273,3248,0.41170077884441225,0.5882992211555877,-0.1765984423111755,-975,-0.005227474569239998,-125
2012,Alabama,Coosa,01037,2191,3049,0.4181297709923664,0.5818702290076336,-0.1637404580152672,-858,0.012857984295908287,117
2016,Alabama,Coosa,01037,1782,3381,0.3451481696687972,0.6548518303312028,-0.30970366066240557,-1599,-0.14596320264713836,-741
2004,Alabama,Covington,01039,3423,11119,0.23538715444918168,0.7646128455508183,-0.5292256911016366,-7696,-0.19186280773472375,-3175
2008,Alabama,Covington,01039,3240,12444,0.20657995409334354,0.7934200459066565,-0.586840091813313,-9204,-0.05761440071167634,-1508
2012,Alabama,Covington,01039,3158,12153,0.20625693945529358,0.7937430605447064,-0.5874861210894129,-8995,-6.460292760999131e-4,209
2016,Alabama,Covington,01039,2387,13267,0.15248498786252715,0.8475150121374728,-0.6950300242749456,-10880,-0.10754390318553275,-1885
2004,Alabama,Crenshaw,01041,1698,3777,0.3101369863013699,0.6898630136986301,-0.37972602739726025,-2079,-0.19800400497288956,-1220
2008,Alabama,Crenshaw,01041,1938,4319,0.3097330989291993,0.6902669010708007,-0.3805338021416014,-2381,-8.077747443411276e-4,-302
2012,Alabama,Crenshaw,01041,2050,4331,0.32126625920702084,0.6787337407929792,-0.35746748158595837,-2281,0.023066320555643005,100
2016,Alabama,Crenshaw,01041,1664,4513,0.2693864335437915,0.7306135664562086,-0.46122713291241707,-2849,-0.1037596513264587,-568
2004,Alabama,Cullman,01043,8045,26818,0.2307604050139116,0.7692395949860884,-0.5384791899721768,-18773,-0.21342299076761173,-9374
2008,Alabama,Cullman,01043,5864,28896,0.16869965477560414,0.8313003452243959,-0.6626006904487918,-23032,-0.12412150047661497,-4259
2012,Alabama,Cullman,01043,5052,28999,0.1483656867639717,0.8516343132360283,-0.7032686264720567,-23947,-0.040667936023264906,-915
2016,Alabama,Cullman,01043,3798,32989,0.10324299344877266,0.8967570065512274,-0.7935140131024547,-29191,-0.09024538663039805,-5244
2004,Alabama,Dale,01045,4484,13621,0.24766639049986192,0.7523336095001381,-0.5046672190002761,-9137,-0.13774032049069485,-3450
2008,Alabama,Dale,01045,5270,13886,0.27510962622676965,0.7248903737732303,-0.44978074754646064,-8616,0.05488647145381548,521
2012,Alabama,Dale,01045,5286,13108,0.28737631836468414,0.7126236816353159,-0.42524736327063173,-7822,0.024533384275828907,794
2016,Alabama,Dale,01045,4413,13808,0.24219307392569014,0.7578069260743099,-0.5156138521486198,-9395,-0.09036648887798804,-1573
2004,Alabama,Dallas,01047,11175,7335,0.6037277147487844,0.39627228525121555,0.20745542949756884,3840,0.010641984853055286,233
2008,Alabama,Dallas,01047,13986,6798,0.6729214780600462,0.3270785219399538,0.3458429561200924,7188,0.13838752662252357,3348
2012,Alabama,Dallas,01047,14612,6288,0.6991387559808613,0.3008612440191388,0.3982775119617225,8324,0.05243455584163009,1136
2016,Alabama,Dallas,01047,12836,5789,0.6891812080536913,0.31081879194630874,0.3783624161073826,7047,-0.019915095854339926,-1277
2004,Alabama,DeKalb,01049,7092,16904,0.2955492582097016,0.7044507417902984,-0.4089014835805968,-9812,-0.1186535330701105,-4041
2008,Alabama,DeKalb,01049,5658,17957,0.2395934787211518,0.7604065212788482,-0.5208130425576964,-12299,-0.11191155897709965,-2487
2012,Alabama,DeKalb,01049,5239,18331,0.222274077216801,0.777725922783199,-0.5554518455663979,-13092,-0.03463880300870148,-793
2016,Alabama,DeKalb,01049,3622,21405,0.14472369840572183,0.8552763015942781,-0.7105526031885563,-17783,-0.15510075762215836,-4691
2004,Alabama,Elmore,01051,6471,22056,0.22683773267430854,0.7731622673256915,-0.546324534651383,-15585,-0.1141678058110569,-5460
2008,Alabama,Elmore,01051,8301,25777,0.2435882387464053,0.7564117612535947,-0.5128235225071893,-17476,0.033501012144193654,-1891
2012,Alabama,Elmore,01051,8954,26253,0.2543244241202034,0.7456755758797966,-0.4913511517595932,-17299,0.021472370747596115,177
2016,Alabama,Elmore,01051,8443,27634,0.23402721955816724,0.7659727804418327,-0.5319455608836654,-19191,-0.040594409124072195,-1892
2004,Alabama,Escambia,01053,3814,8513,0.309402125415754,0.6905978745842459,-0.3811957491684919,-4699,-0.16794127012865895,-2247
2008,Alabama,Escambia,01053,5188,9375,0.35624527913204695,0.643754720867953,-0.2875094417359061,-4187,0.09368630743258582,512
2012,Alabama,Escambia,01053,5489,9287,0.3714807796426638,0.6285192203573362,-0.2570384407146724,-3798,0.03047100102123368,389
2016,Alabama,Escambia,01053,4605,9935,0.3167125171939477,0.6832874828060522,-0.3665749656121045,-5330,-0.1095365248974321,-1532
2004,Alabama,Etowah,01055,15328,26999,0.362132917523094,0.637867082476906,-0.27573416495381203,-11671,-0.1808743518696999,-8017
2008,Alabama,Etowah,01055,13497,30595,0.30610995191871543,0.6938900480812846,-0.3877800961625692,-17098,-0.11204593120875717,-5427
2012,Alabama,Etowah,01055,12803,29130,0.30532039205399086,0.6946796079460091,-0.3893592158920183,-16327,-0.0015791197294490744,771
2016,Alabama,Etowah,01055,10442,32353,0.24400046734431594,0.7559995326556841,-0.5119990653113682,-21911,-0.12263984941934991,-5584
2004,Alabama,Fayette,01057,2408,5534,0.30319818685469657,0.6968018131453034,-0.39360362629060686,-3126,-0.19506844449620453,-1608
2008,Alabama,Fayette,01057,1994,5883,0.25314205915957855,0.7468579408404215,-0.4937158816808429,-3889,-0.10011225539023605,-763
2012,Alabama,Fayette,01057,1817,6054,0.2308474145597764,0.7691525854402236,-0.5383051708804472,-4237,-0.044589289199604254,-348
2016,Alabama,Fayette,01057,1362,6712,0.1686896210056973,0.8313103789943027,-0.6626207579886054,-5350,-0.12431558710815827,-1113
2004,Alabama,Franklin,01059,4514,7690,0.3698787282858079,0.6301212717141921,-0.26024254342838415,-3176,-0.13872494812046626,-1850
2008,Alabama,Franklin,01059,3469,8048,0.3012069115220978,0.6987930884779022,-0.39758617695580445,-4579,-0.1373436335274203,-1403
2012,Alabama,Franklin,01059,3171,7567,0.2953063885267275,0.7046936114732725,-0.40938722294654495,-4396,-0.0118010459907405,183
2016,Alabama,Franklin,01059,2197,9466,0.1883734888107691,0.8116265111892309,-0.6232530223784618,-7269,-0.21386579943191686,-2873
2004,Alabama,Geneva,01061,2113,8342,0.20210425633668103,0.797895743663319,-0.5957914873266379,-6229,-0.187647851545939,-2410
2008,Alabama,Geneva,01061,2134,9417,0.1847459094450697,0.8152540905549303,-0.6305081811098605,-7283,-0.03471669378322262,-1054
2012,Alabama,Geneva,01061,2039,9175,0.1818262885678616,0.8181737114321384,-0.6363474228642767,-7136,-0.005839241754416191,147
2016,Alabama,Geneva,01061,1525,9994,0.13238996440663253,0.8676100355933675,-0.7352200711867349,-8469,-0.09887264832245823,-1333
2004,Alabama,Greene,01063,3764,958,0.7971198644642101,0.20288013553578993,0.5942397289284203,2806,-0.01531470377713795,152
2008,Alabama,Greene,01063,4408,876,0.834216502649508,0.16578349735049205,0.668433005299016,3532,0.0741932763705957,726
2012,Alabama,Greene,01063,4521,804,0.8490140845070423,0.15098591549295776,0.6980281690140846,3717,0.02959516371506865,185
2016,Alabama,Greene,01063,4013,838,0.8272521129663987,0.17274788703360133,0.6545042259327973,3175,-0.043523943081287264,-542
2004,Alabama,Hale,01065,4631,3281,0.5853134479271992,0.4146865520728008,0.17062689585439839,1350,-0.047812077430043676,-318
2008,Alabama,Hale,01065,4982,3200,0.6088975800537766,0.3911024199462234,0.21779516010755318,1782,0.04716826425315479,432
2012,Alabama,Hale,01065,5411,3210,0.6276534044774388,0.37234659552256116,0.2553068089548776,2201,0.03751164884732444,419
2016,Alabama,Hale,01065,4775,3173,0.6007800704579769,0.3992199295420232,0.2015601409159537,1602,-0.05374666803892392,-599
2004,Alabama,Henry,01067,2452,4881,0.3343788354016092,0.6656211645983908,-0.33124232919678165,-2429,-0.14516860187086,-1157
2008,Alabama,Henry,01067,3018,5585,0.35080785772404977,0.6491921422759502,-0.29838428455190047,-2567,0.03285804464488118,-138
2012,Alabama,Henry,01067,3083,5628,0.35392033061646194,0.646079669383538,-0.29215933876707606,-2545,0.006224945784824409,22
2016,Alabama,Henry,01067,2292,5632,0.28924785461887936,0.7107521453811206,-0.4215042907622413,-3340,-0.1293449519951652,-795
2004,Alabama,Houston,01069,9144,26874,0.2538730634682659,0.7461269365317341,-0.49225387306346824,-17730,-0.08866728159271231,-4992
2008,Alabama,Houston,01069,12225,29254,0.29472745244581594,0.705272547554184,-0.41054509510836806,-17029,0.08170877795510018,701
2012,Alabama,Houston,01069,12367,29270,0.2970194778682422,0.7029805221317578,-0.4059610442635156,-16903,0.004584050844852472,126
2016,Alabama,Houston,01069,10664,30728,0.25763432547352144,0.7423656745264785,-0.48473134905295706,-20064,-0.07877030478944147,-3161
2004,Alabama,Jackson,01071,8635,11534,0.4281322822152809,0.5718677177847191,-0.14373543556943824,-2899,-0.1774279274456141,-3490
2008,Alabama,Jackson,01071,6374,14083,0.31158038813120204,0.688419611868798,-0.37683922373759593,-7709,-0.2331037881681577,-4810
2012,Alabama,Jackson,01071,5822,14439,0.28735008143724394,0.7126499185627561,-0.4252998371255121,-8617,-0.048460613387916185,-908
2016,Alabama,Jackson,01071,3673,16672,0.1805357581715409,0.8194642418284591,-0.6389284836569182,-12999,-0.21362864653140612,-4382
2004,Alabama,Jefferson,01073,132286,158680,0.45464418523126415,0.5453558147687358,-0.0907116295374717,-26394,-0.05866006086618469,-17792
2008,Alabama,Jefferson,01073,166121,149921,0.5256295049392169,0.47437049506078305,0.05125900987843385,16200,0.14197063941590554,42594
2012,Alabama,Jefferson,01073,159876,141683,0.5301649096859984,0.46983509031400156,0.06032981937199683,18193,0.009070809493562981,1993
2016,Alabama,Jefferson,01073,156873,134768,0.5378976207049078,0.46210237929509224,0.07579524140981553,22105,0.015465422037818699,3912
2004,Alabama,Lamar,01075,1956,4894,0.28554744525547443,0.7144525547445255,-0.4289051094890511,-2938,-0.173815961658081,-1121
2008,Alabama,Lamar,01075,1614,5419,0.22948954926773782,0.7705104507322622,-0.5410209014645244,-3805,-0.11211579197547333,-867
2012,Alabama,Lamar,01075,1646,5457,0.23173307053357736,0.7682669294664226,-0.5365338589328452,-3811,0.004487042531679197,-6
2016,Alabama,Lamar,01075,1036,5823,0.1510424260096224,0.8489575739903776,-0.6979151479807553,-4787,-0.16138128904791005,-976
2004,Alabama,Lauderdale,01077,14628,22161,0.39761885346163256,0.6023811465383675,-0.20476229307673494,-7533,-0.08984506027604605,-3930
2008,Alabama,Lauderdale,01077,13329,24068,0.3564189640880285,0.6435810359119716,-0.2871620718239431,-10739,-0.08239977874720816,-3206
2012,Alabama,Lauderdale,01077,12511,23911,0.34350118060512874,0.6564988193948712,-0.31299763878974246,-11400,-0.02583556696579936,-661
2016,Alabama,Lauderdale,01077,9952,27899,0.262925682280521,0.737074317719479,-0.47414863543895797,-17947,-0.1611509966492155,-6547
